"","donor","cell_type1","total_features","cell_type","species","dataset","species_donor"
"mouse1_lib2.final_cell_0019",1,"beta",1651,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0020",1,"ductal",3356,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0021",1,"ductal",2611,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0022",1,"ductal",2711,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0023",1,"ductal",2850,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0024",1,"ductal",3206,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0025",1,"beta",2385,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0026",1,"ductal",2355,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0027",1,"ductal",2702,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0028",1,"ductal",2540,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0029",1,"ductal",2396,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0030",1,"ductal",2498,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0031",1,"endothelial",2607,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0032",1,"beta",1309,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0033",1,"beta",1308,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0034",1,"beta",2035,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0035",1,"endothelial",2437,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0036",1,"ductal",2026,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0037",1,"beta",2057,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0038",1,"beta",1414,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0039",1,"beta",1195,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0040",1,"ductal",2643,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0041",1,"beta",1637,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0042",1,"beta",1497,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0043",1,"ductal",2078,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0044",1,"beta",1563,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0045",1,"ductal",2398,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0046",1,"endothelial",2068,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0047",1,"ductal",2200,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0048",1,"endothelial",2356,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0049",1,"beta",1562,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0050",1,"endothelial",2166,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0051",1,"ductal",2394,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0052",1,"ductal",2447,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0053",1,"beta",1342,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0054",1,"ductal",2278,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0055",1,"endothelial",1819,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0056",1,"endothelial",2260,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0057",1,"immune_other",1833,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0058",1,"beta",1588,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0059",1,"ductal",2421,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0060",1,"beta",1519,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0061",1,"beta",1848,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0062",1,"beta",1731,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0063",1,"beta",2206,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0064",1,"delta",2253,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0065",1,"beta",1680,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0066",1,"ductal",2391,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0067",1,"beta",1497,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0068",1,"ductal",2146,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0069",1,"endothelial",2375,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0070",1,"beta",1617,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0071",1,"ductal",2002,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0072",1,"ductal",2747,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0073",1,"beta",1631,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0074",1,"beta",964,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0075",1,"beta",1174,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0076",1,"beta",1258,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0077",1,"ductal",2026,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0078",1,"endothelial",1849,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0079",1,"macrophage",1840,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0080",1,"beta",1265,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0081",1,"ductal",1760,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0082",1,"beta",1651,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0083",1,"ductal",1808,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0084",1,"beta",890,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0085",1,"beta",1199,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0086",1,"delta",1714,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0087",1,"beta",1074,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0088",1,"macrophage",1781,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0089",1,"beta",1079,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0090",1,"beta",1249,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0091",1,"beta",828,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0092",1,"beta",850,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0093",1,"quiescent_stellate",1963,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0094",1,"beta",1026,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0095",1,"endothelial",2001,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0096",1,"beta",1618,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0097",1,"beta",1482,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0098",1,"beta",1218,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0099",1,"macrophage",1871,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0100",1,"ductal",1794,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0101",1,"beta",1166,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0102",1,"endothelial",1878,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0103",1,"beta",1307,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0104",1,"beta",1413,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0105",1,"delta",1414,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0106",1,"macrophage",1701,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0107",1,"ductal",1525,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0108",1,"beta",1027,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0109",1,"beta",1370,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0110",1,"ductal",1499,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0111",1,"beta",948,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0112",1,"beta",1288,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0113",1,"delta",1818,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0114",1,"quiescent_stellate",1827,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0115",1,"beta",1233,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0116",1,"beta",1440,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0117",1,"ductal",2010,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0118",1,"beta",1207,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0119",1,"endothelial",1985,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0120",1,"beta",1569,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0121",1,"delta",1024,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0122",1,"beta",1275,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0123",1,"delta",1476,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0124",1,"endothelial",1969,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0125",1,"beta",1218,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0126",1,"beta",1022,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0127",1,"ductal",1661,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0128",1,"gamma",835,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0129",1,"gamma",881,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0130",1,"ductal",1427,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0131",1,"beta",779,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0132",1,"endothelial",1687,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0133",1,"beta",1039,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0134",1,"beta",903,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0135",1,"delta",1173,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0136",1,"ductal",1509,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0137",1,"beta",1332,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0138",1,"delta",1203,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0139",1,"endothelial",1723,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0140",1,"gamma",1046,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0141",1,"ductal",1514,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0142",1,"macrophage",1516,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0143",1,"quiescent_stellate",1484,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0144",1,"ductal",1276,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0145",1,"beta",1371,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0146",1,"beta",1138,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0147",1,"beta",1155,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0148",1,"beta",1363,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0149",1,"beta",1002,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0150",1,"delta",971,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0151",1,"ductal",1637,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0152",1,"beta",1008,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0153",1,"ductal",1697,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0154",1,"delta",1169,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0155",1,"delta",1171,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0156",1,"beta",1005,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0157",1,"beta",1188,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0158",1,"endothelial",1726,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0159",1,"beta",1142,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0160",1,"delta",1080,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0161",1,"beta",1557,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0162",1,"delta",1371,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0163",1,"beta",1016,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0164",1,"alpha",780,"alpha","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0165",1,"ductal",1336,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0166",1,"beta",1548,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0167",1,"quiescent_stellate",1468,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0168",1,"ductal",1343,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0169",1,"beta",1102,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0170",1,"endothelial",1619,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0171",1,"ductal",1786,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0172",1,"beta",771,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0173",1,"beta",1168,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0174",1,"beta",792,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0175",1,"beta",899,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0176",1,"beta",1131,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0177",1,"beta",1190,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0178",1,"beta",1187,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0179",1,"endothelial",1317,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0180",1,"beta",990,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0181",1,"ductal",1573,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0182",1,"beta",805,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0183",1,"endothelial",1205,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0184",1,"beta",840,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0185",1,"beta",1593,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0186",1,"macrophage",1439,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0187",1,"beta",1220,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0188",1,"delta",793,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0189",1,"beta",938,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0190",1,"beta",752,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0191",1,"beta",936,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0192",1,"beta",1481,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0193",1,"beta",855,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0194",1,"ductal",1010,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0195",1,"beta",753,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0196",1,"beta",931,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0197",1,"beta",1069,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0198",1,"gamma",868,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0199",1,"beta",901,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0200",1,"endothelial",1583,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0201",1,"macrophage",1460,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0202",1,"endothelial",1283,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0203",1,"beta",1164,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0204",1,"beta",848,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0205",1,"ductal",1009,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0206",1,"endothelial",1417,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0207",1,"beta",905,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0208",1,"beta",820,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0209",1,"beta",744,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0210",1,"delta",925,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0211",1,"beta",942,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0212",1,"quiescent_stellate",1428,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0213",1,"delta",1109,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0214",1,"beta",822,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0215",1,"beta",756,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0216",1,"beta",1076,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0217",1,"quiescent_stellate",1417,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0218",1,"delta",904,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0219",1,"ductal",1487,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0220",1,"ductal",1070,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0221",1,"beta",1058,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0222",1,"beta",1263,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0223",1,"endothelial",1232,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0224",1,"beta",782,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0225",1,"beta",815,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0226",1,"delta",835,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0227",1,"quiescent_stellate",1223,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0228",1,"gamma",858,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0229",1,"delta",849,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0230",1,"beta",1038,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0231",1,"delta",882,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0232",1,"beta",765,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0233",1,"ductal",1498,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0234",1,"ductal",1206,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0235",1,"beta",854,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0236",1,"beta",747,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0237",1,"delta",906,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0238",1,"beta",1108,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0239",1,"endothelial",1029,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0240",1,"delta",769,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0241",1,"delta",813,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0242",1,"beta",876,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0243",1,"delta",799,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0244",1,"alpha",856,"alpha","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0245",1,"quiescent_stellate",1320,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0246",1,"beta",751,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0247",1,"gamma",767,"gamma","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0248",1,"endothelial",1091,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0249",1,"delta",1020,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0250",1,"ductal",1016,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0251",1,"ductal",739,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0252",1,"beta",971,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0253",1,"delta",766,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0254",1,"beta",897,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0255",1,"delta",759,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0256",1,"beta",774,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0257",1,"ductal",915,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0258",1,"endothelial",1132,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0259",1,"endothelial",1013,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0260",1,"ductal",1052,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0261",1,"alpha",771,"alpha","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0262",1,"delta",797,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0263",1,"delta",772,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0264",1,"beta",1033,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0265",1,"beta",959,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0266",1,"endothelial",925,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0267",1,"beta",873,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0268",1,"beta",836,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0269",1,"activated_stellate",887,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0270",1,"delta",748,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0271",1,"ductal",1455,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0272",1,"macrophage",1254,"immune","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0273",1,"beta",789,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0274",1,"delta",895,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0275",1,"beta",861,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0276",1,"beta",866,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0277",1,"beta",771,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0278",1,"beta",785,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0279",1,"ductal",873,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0280",1,"ductal",845,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0281",1,"ductal",757,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0282",1,"ductal",766,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0283",1,"ductal",801,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0284",1,"ductal",1153,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0285",1,"ductal",1014,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0286",1,"ductal",742,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0287",1,"quiescent_stellate",909,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0288",1,"delta",809,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0289",1,"endothelial",830,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0290",1,"ductal",773,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0291",1,"endothelial",763,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0001",1,"beta",3120,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0002",1,"beta",3121,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0003",1,"ductal",3254,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0004",1,"delta",1307,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0005",1,"alpha",1655,"alpha","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0006",1,"endothelial",3199,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0007",1,"beta",2296,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0008",1,"ductal",2940,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0009",1,"beta",1911,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0010",1,"ductal",2455,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0011",1,"ductal",3017,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0012",1,"ductal",2696,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0013",1,"ductal",2330,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0014",1,"ductal",2658,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0015",1,"ductal",2830,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0016",1,"ductal",2182,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0017",1,"ductal",2161,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0018",1,"beta",2627,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0019",1,"ductal",2894,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0020",1,"gamma",1895,"gamma","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0021",1,"delta",2372,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0022",1,"beta",1733,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0023",1,"beta",1417,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0024",1,"delta",2247,"delta","mouse","inDrop","mouse1"
